0.054	299.8	0.0005	0.1
0.052	290.3	0.0005	0.1
0.052	280.7	0.0005	0.1
0.051	270.7	0.0005	0.1
0.050	260.5	0.0005	0.1
0.050	250.7	0.0005	0.1
0.050	240.2	0.0005	0.1
0.049	230.7	0.0005	0.1
0.048	220.0	0.0005	0.1
0.047	210.1	0.0005	0.1
0.046	200.5	0.0005	0.1
0.044	190.7	0.0005	0.1
0.042	180.2	0.0005	0.1
0.041	170.1	0.0005	0.1
0.040	160.7	0.0005	0.1
0.038	150.4	0.0005	0.1
0.0530	298.3	0.0005	0.1
0.0520	290.3	0.0005	0.1
0.0520	280.4	0.0005	0.1
0.0515	270.3	0.0005	0.1
0.0515	260.4	0.0005	0.1
0.0505	250.0	0.0005	0.1
0.0500	240.5	0.0005	0.1
0.0495	230.0	0.0005	0.1
0.0490	220.0	0.0005	0.1
0.0490	210.0	0.0005	0.1
0.0475	200.4	0.0005	0.1
0.0465	190.0	0.0005	0.1
0.0460	180.3	0.0005	0.1
0.0450	169.9	0.0005	0.1
0.0445	160.3	0.0005	0.1
0.0395	150.3	0.0005	0.1
