481.878	1.962
482.161	1.962
482.445	1.97
482.728	1.986
483.011	2.002
483.294	2.019
483.577	2.035
483.86	2.043
484.143	2.068
484.426	2.092
484.708	2.116
484.991	2.125
485.274	2.125
485.556	2.133
485.839	2.133
486.121	2.149
486.404	2.157
486.686	2.173
486.969	2.19
487.251	2.239
487.533	2.312
487.815	2.401
488.098	2.54
488.38	2.759
488.662	3.069
488.944	3.378
489.226	3.573
489.508	3.614
489.79	3.525
490.072	3.386
490.353	3.158
490.635	2.841
490.917	2.548
491.198	2.352
491.48	2.295
491.762	2.279
492.043	2.279
492.325	2.304
492.606	2.344
492.888	2.418
493.169	2.483
493.45	2.54
493.732	2.564
494.013	2.589
494.294	2.605
494.576	2.605
494.857	2.572
495.138	2.507
495.419	2.466
495.7	2.426
495.981	2.401
496.262	2.377
496.543	2.361
496.824	2.352
497.105	2.352
497.386	2.369
497.667	2.385
497.947	2.393
498.228	2.393
498.509	2.385
498.79	2.377
499.07	2.377
499.351	2.377
499.632	2.369
499.912	2.361
500.193	2.377
500.473	2.409
500.754	2.418
501.034	2.409
501.315	2.409
501.595	2.434
501.876	2.466
502.156	2.507
502.436	2.54
502.717	2.572
502.997	2.58
503.277	2.597
503.558	2.605
503.838	2.621
504.118	2.637
504.398	2.654
504.679	2.654
504.959	2.629
505.239	2.605
505.519	2.58
505.799	2.564
506.079	2.548
506.359	2.54
506.639	2.548
506.919	2.548
507.2	2.54
507.48	2.532
507.76	2.523
508.04	2.532
508.319	2.548
508.599	2.589
508.879	2.629
509.159	2.662
509.439	2.686
509.719	2.711
509.999	2.727
510.279	2.727
510.559	2.711
510.839	2.686
511.118	2.67
511.398	2.662
511.678	2.662
511.958	2.646
512.238	2.621
512.517	2.597
512.797	2.597
513.077	2.605
513.357	2.621
513.636	2.629
513.916	2.646
514.196	2.662
514.476	2.662
514.755	2.646
515.035	2.605
515.315	2.572
515.594	2.523
515.874	2.491
516.154	2.442
516.434	2.409
516.713	2.369
516.993	2.361
517.273	2.361
517.552	2.385
517.832	2.409
518.112	2.45
518.391	2.499
518.671	2.548
518.95	2.572
519.23	2.564
519.51	2.54
519.789	2.507
520.069	2.466
520.349	2.409
520.628	2.361
520.908	2.32
521.188	2.304
521.467	2.295
521.747	2.295
522.027	2.287
522.306	2.279
522.586	2.271
522.866	2.271
523.145	2.263
523.425	2.263
523.705	2.271
523.984	2.295
524.264	2.328
524.544	2.369
524.823	2.409
525.103	2.45
525.383	2.491
525.662	2.532
525.942	2.572
526.222	2.605
526.501	2.613
526.781	2.613
527.061	2.613
527.34	2.637
527.62	2.662
527.9	2.694
528.18	2.735
528.459	2.784
528.739	2.849
529.019	2.922
529.299	2.996
529.578	3.093
529.858	3.215
530.138	3.378
530.418	3.59
530.698	3.867
530.977	4.192
531.257	4.534
531.537	4.819
531.817	5.039
532.097	5.153
532.377	5.201
532.656	5.21
532.936	5.21
533.216	5.258
533.496	5.332
533.776	5.397
534.056	5.438
534.336	5.495
534.616	5.608
534.896	5.755
535.176	5.95
535.456	6.268
535.735	6.829
536.015	7.717
536.295	9.019
536.575	10.777
536.856	12.991
537.136	15.922
537.416	20.081
537.696	26.227
537.976	35.474
538.256	49.589
538.536	67.619
538.816	83.411
539.096	92.47
539.376	94.742
539.656	94.823
539.936	94.766
540.217	94.693
540.497	94.579
540.777	94.416
541.057	94.172
541.337	93.814
541.618	93.276
541.898	92.47
542.178	91.241
542.458	89.337
542.739	85.999
543.019	79.878
543.299	70.077
543.58	56.899
543.86	43.183
544.14	32.755
544.421	27.326
544.701	24.534
544.981	22.434
545.262	19.919
545.542	17.745
545.823	16.215
546.103	14.929
546.384	14.497
546.664	13.993
546.945	13.854
547.225	13.504
547.506	12.926
547.786	11.99
548.067	10.965
548.347	9.752
548.628	8.441
548.908	7.22
549.189	6.333
549.47	5.845
549.75	5.551
550.031	5.21
550.312	4.794
550.592	4.396
550.873	4.168
551.154	4.062
551.434	4.029
551.715	3.989
551.996	3.948
552.277	3.899
552.557	3.842
552.838	3.761
553.119	3.696
553.4	3.655
553.681	3.655
553.962	3.655
554.242	3.647
554.523	3.59
554.804	3.5
