379,792;1,392
380,066;1,392
380,341;1,376
380,615;1,351
380,891;1,359
381,166;1,368
381,443;1,376
381,719;1,368
381,996;1,376
382,274;1,392
382,552;1,408
382,831;1,425
383,109;1,441
383,389;1,457
383,669;1,465
383,949;1,465
384,229;1,465
384,510;1,465
384,792;1,457
385,073;1,457
385,356;1,465
385,638;1,490
385,921;1,530
386,204;1,571
386,488;1,620
386,772;1,652
387,056;1,677
387,341;1,718
387,626;1,783
387,911;1,913
388,197;2,100
388,483;2,336
388,769;2,589
389,056;2,865
389,343;3,240
389,630;3,785
389,918;4,550
390,205;5,511
390,494;6,496
390,782;7,285
391,071;7,692
391,360;7,733
391,649;7,464
391,938;6,960
392,228;6,195
392,518;5,226
392,808;4,200
393,099;3,297
393,390;2,621
393,681;2,133
393,972;1,872
394,263;1,758
394,555;1,766
394,847;1,775
395,139;1,783
395,431;1,750
395,724;1,685
396,017;1,595
396,310;1,530
396,603;1,490
396,896;1,481
397,190;1,481
397,483;1,490
397,777;1,490
398,071;1,490
398,366;1,481
398,660;1,465
398,954;1,465
399,249;1,473
399,544;1,490
399,839;1,490
400,134;1,490
400,430;1,490
400,725;1,481
401,021;1,465
401,316;1,449
401,612;1,449
401,908;1,449
402,204;1,457
402,501;1,473
402,797;1,514
403,094;1,547
403,390;1,571
403,687;1,587
403,984;1,595
404,281;1,595
404,578;1,579
404,875;1,555
405,172;1,514
405,469;1,465
405,767;1,425
406,064;1,408
406,362;1,400
406,659;1,408
406,957;1,408
407,255;1,416
407,553;1,408
407,851;1,400
408,149;1,384
408,447;1,376
408,745;1,376
409,043;1,376
409,341;1,368
409,640;1,359
409,938;1,359
410,237;1,368
410,535;1,368
410,833;1,384
411,132;1,400
411,431;1,416
411,729;1,425
412,028;1,433
412,326;1,433
412,625;1,416
412,924;1,408
413,223;1,408
413,521;1,416
413,820;1,408
414,119;1,392
414,418;1,384
414,717;1,376
415,016;1,376
415,315;1,368
415,613;1,359
415,912;1,343
416,211;1,335
416,510;1,335
416,809;1,343
417,108;1,335
417,407;1,327
417,706;1,319
418,005;1,319
418,303;1,319
418,602;1,327
418,901;1,343
419,200;1,359
419,499;1,368
419,798;1,368
420,096;1,376
420,395;1,376
420,694;1,368
420,993;1,343
421,291;1,327
421,590;1,319
421,889;1,327
422,187;1,343
422,486;1,351
422,785;1,343
423,083;1,343
423,382;1,359
423,680;1,376
423,978;1,376
424,277;1,376
424,575;1,392
424,874;1,400
425,172;1,400
425,470;1,392
425,768;1,384
426,066;1,368
426,364;1,351
426,662;1,343
