3.00	135.8
3.00	134.7
3.00	133.8
3.00	132.5
3.00	132.6
3.00	132.6
3.00	132.5
3.00	133.0
3.00	133.4
3.00	133.8
3.00	134.1
3.00	134.4
3.00	134.6
3.00	135.6
3.00	136.6
3.00	134.4
3.00	133.2
3.00	136.1
3.00	138.2
3.00	138.0
3.00	136.5
3.00	137.6
3.00	136.8
3.00	138.8
3.00	140.2
3.00	140.7
3.00	140.4
3.00	141.2
3.02	143.0
3.09	135.9
3.46	73.6
4.12	25.4
4.94	3.2
5.76	-8.0
6.68	-14.0
7.61	-17.2
8.53	-19.1
9.64	-20.1
10.75	-20.7
11.84	-21.1
12.98	-21.4
14.02	-21.6
15.06	-21.8
16.08	-21.8
17.17	-21.9
18.39	-22.1
19.58	-22.1
20.71	-22.2
21.88	-22.3
22.92	-22.2
23.93	-22.4
24.93	-22.4
25.97	-22.4
27.08	-22.5
28.03	-22.5
28.88	-22.6
29.61	-22.6
30.26	-22.6
30.87	-22.6
31.38	-22.7
32.00	-22.7
32.58	-22.8
33.15	-22.7
33.75	-22.7
34.35	-22.8
34.93	-22.8
35.37	-22.8
35.66	-22.8
35.86	-22.8
36.13	-22.8
36.51	-22.8
36.87	-22.8
37.33	-22.8
37.84	-22.8
38.33	-22.9
38.77	-22.8
39.17	-22.9
39.59	-22.9
39.93	-22.9
40.31	-22.9
40.68	-22.9
41.02	-22.8
41.34	-22.9
41.62	-22.9
41.87	-22.8
42.11	-22.9
42.33	-22.9
42.57	-22.8
42.83	-22.8
43.08	-22.9
43.32	-22.9
43.56	-22.9
43.81	-23.0
44.02	-23.0
44.22	-23.0
44.43	-23.0
44.61	-22.9
44.80	-23.0
44.97	-22.9
45.14	-22.9
45.26	-22.9
45.35	-23.0
45.41	-23.0
45.57	-23.0
45.81	-22.9
45.99	-23.0
46.21	-22.9
46.38	-23.0
46.50	-23.0
46.62	-23.0
46.73	-23.0
46.81	-23.0
46.93	-23.1
47.07	-23.0
47.24	-23.0
47.41	-23.0
47.53	-23.1
47.59	-23.1
47.64	-23.1
47.76	-23.1
47.87	-23.2
47.99	-23.2
48.09	-23.2
48.16	-23.2
48.24	-23.3
48.34	-23.2
48.43	-23.2
48.48	-23.3
48.55	-23.3
48.67	-23.2
48.82	-23.3
48.99	-23.3
49.16	-23.4
49.30	-23.3
49.45	-23.4
49.64	-23.4
49.77	-23.5
49.93	-23.5
50.10	-23.4
50.27	-23.4
50.44	-23.5
50.59	-23.4
50.71	-23.3
50.79	-23.4
50.90	-23.5
51.03	-23.4
51.19	-23.5
51.36	-23.5
51.53	-23.5
51.73	-23.5
51.90	-23.7
52.04	-23.6
52.17	-23.5
52.33	-23.6
52.48	-23.7
52.63	-23.6
52.75	-23.6
52.92	-23.6
53.06	-23.6
53.21	-23.7
53.37	-23.7
53.52	-23.7
53.64	-23.6
53.74	-23.7
53.83	-23.4
53.93	-22.8
54.06	-21.4
54.17	-19.0
54.32	-16.4
54.49	-13.0
54.66	-8.9
54.90	-4.1
55.09	2.5
55.29	11.3
55.51	21.4
55.68	32.8
55.90	44.1
56.07	54.1
56.23	60.6
56.35	64.4
56.48	65.9
56.60	64.9
56.72	61.8
56.82	57.1
56.94	51.6
57.06	44.9
57.11	37.6
57.21	30.5
57.35	24.0
57.50	17.6
57.64	11.3
57.81	6.0
57.96	1.0
58.12	-3.4
58.27	-7.1
58.41	-10.4
58.53	-12.9
58.63	-14.9
58.73	-16.5
58.83	-17.8
58.97	-18.8
59.10	-19.7
59.24	-20.4
59.34	-21.2
59.48	-21.7
59.60	-22.2
59.75	-22.7
59.90	-23.3
60.04	-24.0
60.13	-24.5
60.25	-24.7
60.35	-24.9
60.43	-25.0
60.57	-25.1
60.64	-25.1
60.67	-25.2
60.72	-25.3
60.84	-25.3
60.96	-25.4
61.11	-25.5
61.27	-25.5
61.40	-25.5
61.54	-25.6
61.68	-25.5
61.79	-25.6
61.91	-25.6
62.05	-25.6
62.15	-25.7
62.25	-25.7
62.39	-25.8
62.51	-25.7
62.66	-25.8
62.78	-25.7
62.88	-25.9
63.00	-25.9
63.09	-26.0
63.12	-26.0
63.16	-26.0
63.17	-26.0
63.21	-26.0
63.31	-26.1
63.43	-26.1
63.53	-26.1
63.63	-26.1
63.74	-26.2
63.85	-26.2
63.99	-26.2
64.11	-26.2
64.25	-26.2
64.40	-26.2
64.55	-26.3
64.76	-26.3
64.94	-26.4
65.18	-26.4
65.40	-26.3
65.63	-26.4
65.85	-26.5
66.07	-26.4
66.24	-26.4
66.39	-26.5
66.49	-26.6
66.60	-26.6
66.68	-26.6
66.80	-26.6
66.92	-26.6
67.09	-26.7
67.26	-26.7
67.29	-26.7
67.29	-26.7
67.29	-26.8
67.29	-26.8
67.29	-26.8
	-26.9
