0 175.9
0 175.9
0 176.2
0 176.3
0 176.5
0 176.5
0 176.6
0 176.5
0 175.9
0 176.1
0 176.4
0 176.5
0 176.6
0 177.3
0 177.3
0 176.6
0 176.8
0 177.1
0 180.2
0 181.7
0 180.7
0 180.9
0 181.7
0 185.9
0.02 195.9
0.12 224.8
0.41 140.6
0.75 56.4
0.92 17.2
1.12 -1.9
1.24 -12.1
1.48 -17.6
1.72 -20.5
1.98 -22.3
2.28 -23.3
2.64 -23.9
3.03 -24.4
3.41 -24.6
3.78 -24.9
4.19 -25.1
4.63 -25.1
5.11 -25.4
5.62 -25.5
6.13 -25.5
6.61 -25.6
7.2 -25.7
7.9 -25.8
8.55 -25.8
9.21 -26
9.89 -25.9
10.52 -26
11.2 -26.1
11.87 -26.1
12.58 -26.3
13.23 -26.2
13.91 -26.3
14.59 -26.3
15.27 -26.3
15.95 -26.4
16.64 -26.4
17.35 -26.5
18.07 -26.4
18.76 -26.5
19.46 -26.6
20.21 -26.6
21.05 -26.6
21.86 -26.6
22.65 -26.7
23.34 -26.6
23.92 -26.7
24.47 -26.7
25.05 -26.7
25.66 -26.7
26.31 -26.7
26.99 -26.8
27.63 -26.8
28.26 -26.8
28.86 -26.9
29.44 -26.8
30.05 -26.8
30.65 -26.8
31.11 -26.9
31.55 -26.9
32.04 -26.9
32.56 -26.8
33.03 -26.9
33.37 -27
33.75 -26.9
34.19 -26.9
34.65 -26.9
35.04 -26.9
35.4 -27
35.69 -26.9
36 -26.9
36.27 -26.9
36.51 -27
36.73 -26.9
36.97 -26.9
37.31 -27
37.65 -27
37.95 -27
38.31 -26.9
38.69 -27
39.03 -26.9
39.32 -27
39.52 -26.9
39.71 -27
39.93 -27
40.18 -27
40.41 -27
40.59 -26.9
40.8 -27
41.04 -27
41.26 -27
41.46 -27.1
41.63 -27.1
41.8 -27
41.97 -27
42.12 -27
42.31 -27
42.47 -27.1
42.6 -27
42.7 -27
42.77 -27
42.79 -27
42.84 -27
42.93 -27.1
42.99 -27
43.08 -27
43.16 -27.1
43.28 -27.1
43.4 -27.1
43.45 -27
43.56 -27
43.66 -27
43.79 -27
43.86 -27
43.95 -27
44 -27
44.12 -26.9
44.29 -27
44.47 -27
44.63 -27
44.83 -27
44.99 -27
45.14 -27
45.29 -27
45.45 -27
45.62 -27
45.77 -26.9
45.9 -26.9
46.06 -27
46.25 -26.9
46.48 -26.9
46.74 -26.9
46.91 -27
47.1 -27
47.28 -26.9
47.47 -26.8
47.66 -26.9
47.81 -26.8
47.97 -26.9
48.15 -26.8
48.31 -26.8
48.46 -26.9
48.61 -26.9
48.77 -26.8
48.9 -26.8
49.05 -26.8
49.19 -26.7
49.31 -26.7
49.38 -26.7
49.46 -26.7
49.6 -26.7
49.77 -26.6
49.96 -26.6
50.14 -26.6
50.35 -26.6
50.59 -26.5
50.81 -26.1
51.06 -23.5
51.32 -18.1
51.56 -10.5
51.76 -1.4
51.97 9.7
52.1 23.8
52.24 38.3
52.27 53
52.31 68.9
52.38 84.8
52.48 99.8
52.61 112.1
52.78 121.3
52.97 129.1
53.18 132.1
53.35 128.8
53.53 120.2
53.72 107.6
53.91 93
54.1 77.6
54.27 62.9
54.4 50
54.5 39.3
54.59 30.1
54.69 21.9
54.78 14.8
54.88 8.7
54.98 3.3
55.03 -1.5
55.08 -5.6
55.17 -9.1
55.25 -11.7
55.37 -13.6
55.47 -15.4
55.56 -17.1
55.68 -18.9
55.81 -21.1
55.93 -23.1
56.1 -24.4
56.29 -25.2
56.48 -25.7
56.65 -25.9
56.82 -26.1
56.96 -26.2
57.13 -26.3
57.28 -26.4
57.47 -26.4
57.64 -26.4
57.82 -26.5
57.99 -26.6
58.18 -26.5
58.37 -26.5
58.56 -26.5
58.78 -26.6
59 -26.6
59.25 -26.6                          
59.53 -26.7
59.82 -26.7
60.09 -26.6
60.33 -26.7
60.58 -26.7
60.79 -26.7
61.08 -26.7
61.3 -26.8
61.59 -26.7
61.91 -26.8
62.23 -26.7
62.56 -26.8
62.85 -26.8
63.12 -26.8
63.39 -26.8
63.63 -26.9
63.89 -26.9
64.07 -26.9
64.09 -26.9
64.09 -27
64.09 -26.9
64.09 -27
64.09 -26.9
64.09 -27
64.09 -27
64.09 -27.1
64.09 -27
64.09 -27
64.09 -27
64.09 -27
64.09 -27
64.09 -27
64.09 -27.1
64.09 -27.1
64.09 -27
64.09 -27.1
64.07 -27.1
64.07 -27.1
64.07 -27.2
64.07 -27.1
